"gin_name","kana","price_yen","source_label","source_url","confidence","kind","context"
"STILL DAM GIN NANKOU UME-スティルダムジン 南高梅-","スティルダム 南高梅 ジン","4950","酒販店","https://sakeroman.com/products/gin-stilldam-gin-shiso-ume","95","jsonld.price","{""@id"":""/products/gin-stilldam-gin-shiso-ume?variant=43923977535574#offer"",""@type"":""Offer"",""availability"":""http://schema.org/OutOfStock"",""price"":""4950"",""priceCu"
"STILLDAM GIN NANKOU UME","スティルダム 南高梅 ジン","4950","酒販店","https://sakeroman.com/products/gin-stilldam-gin-shiso-ume","95","jsonld.price","{""@id"":""/products/gin-stilldam-gin-shiso-ume?variant=43923977535574#offer"",""@type"":""Offer"",""availability"":""http://schema.org/OutOfStock"",""price"":""4950"",""priceCu"
"TANQUERAY Malacca Gin","タンカレー マラッカ ジン","3058","酒販店","https://www.miraido-onlineshop.com/item/5-tanqueray-mj/","95","jsonld.price","{""@type"":""Offer"",""priceCurrency"":""JPY"",""price"":""3058"",""availability"":""OutOfStock""}"
"THE HERBALIST YASO GIN Limited Edition 03 Not Equal","ハーバリスト 八蘇 リミテッドエディション 03 ノットイコール ジン","7480","酒販店","https://www.shinanoya-tokyo.jp/view/item/000000021068","95","jsonld.price","{""@type"":""Offer"",""price"":""7480"",""priceCurrency"":""JPY"",""availability"":""http://schema.org/InStock"",""url"":""""}"
"TOKYO HACHIO GIN Classic（40%）","東京 八王子 クラシック ジン","4450","酒販店","https://ginlabliquor.base.shop/items/90189280","95","jsonld.price","{""@type"":""Offer"",""url"":"""",""availability"":""http://schema.org/InStock"",""priceCurrency"":""JPY"",""price"":""4450""}"
"TOKYO HACHIO GIN Classic（45%）","東京 八王子 クラシック ジン","4450","酒販店","https://ginlabliquor.base.shop/items/90189280","95","jsonld.price","{""@type"":""Offer"",""url"":"""",""availability"":""http://schema.org/InStock"",""priceCurrency"":""JPY"",""price"":""4450""}"
"Unbirthday 指宿 DRY GIN","アンバースデイ 指宿 ジン","2200","酒販店","https://www.higoya.co.jp/c/kuramoto/kagoshima/nansatsu/oj/oj93","95","jsonld.price","{""@type"":""Offer"",""priceCurrency"":""JPY"",""price"":2200,""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@ty"
"WELLNESS GIN","ウェルネス ジン","6600","酒販店","https://store.musashiya-net.co.jp/products/detail/22843","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/22843"",""priceCurrency"":""JPY"",""price"":6600,""availability"":""InStock""}"
"WHITLEY NEILL","ウィットリーニール","3335","酒販店","https://www.syurui.co.jp/products/3463","95","jsonld.price","{""@type"":""Offer"",""sku"":""3463"",""availability"":""http://schema.org/InStock"",""price"":3335,""priceCurrency"":""JPY"",""url"":""https://www.syurui.co.jp/products/3463?varian"
"WHITLEY NEILL Gooseberry","ウィットリーニール グーズベリー","4298","酒販店","https://store.shopping.yahoo.co.jp/enokishouten/3r-406g-qk3c.html","95","jsonld.price","{""@type"":""Offer"",""price"":4298,""priceCurrency"":""JPY"",""itemCondition"":""http://schema.org/NewCondition"",""url"":""https://store.shopping.yahoo.co.jp/enokishouten/3r-4"
"WHITLEY NEILL Quince","ウィットリーニール クインス","3208","酒販店","https://www.syurui.co.jp/products/3486","95","jsonld.price","{""@type"":""Offer"",""sku"":""3486"",""availability"":""http://schema.org/InStock"",""price"":3208,""priceCurrency"":""JPY"",""url"":""https://www.syurui.co.jp/products/3486?varian"
"WHITLEY NEILL Raspberry","ウィットリーニール ラズベリー","3300","輸入元","https://shop.andspirits.com/products/whitley-neill-raspberry-gin-uitutoriniru-razuberizin","95","jsonld.price","{""@type"":""Offer"",""sku"":""5011166057116"",""availability"":""http://schema.org/InStock"",""price"":3300,""priceCurrency"":""JPY"",""priceValidUntil"":""2026-07-05"",""url"":""https"
"WHITLEY NEILL RHUBARB & GINGER GIN","ウィットリーニール ルバーブ＆ジンジャー","3335","酒販店","https://www.syurui.co.jp/products/3513","95","jsonld.price","{""@type"":""Offer"",""sku"":""3513"",""availability"":""http://schema.org/InStock"",""price"":3335,""priceCurrency"":""JPY"",""url"":""https://www.syurui.co.jp/products/3513?varian"
"アルケミエ","アルケミエ","5000","酒販店","https://store.musashiya-net.co.jp/products/detail/20279","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/20279"",""priceCurrency"":""JPY"",""price"":5000,""availability"":""OutOfStock""}"
"アルケミエ 4","アルケミエ 4","6200","酒販店","https://www.shinanoya-tokyo.jp/view/item/000000015610","95","jsonld.price","{""@type"":""Offer"",""price"":""6200"",""priceCurrency"":""JPY"",""availability"":""http://schema.org/InStock"",""url"":""""}"
"アルケミエ ファーストエッセンス オレンジ＃12","アルケミエ ファーストエッセンス オレンジ ＃12","5500","酒販店","https://store.musashiya-net.co.jp/products/detail/23969","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/23969"",""priceCurrency"":""JPY"",""price"":5500,""availability"":""OutOfStock""}"
"アルケミエ 金木犀","アルケミエ キンモクセイ","5500","酒販店","https://store.musashiya-net.co.jp/products/detail/25568","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/25568"",""priceCurrency"":""JPY"",""price"":5500,""availability"":""OutOfStock""}"
"アルケミエ 犬啼 ジュニパー","アルケミエ イヌナキ ジュニパー","5000","酒販店","https://store.musashiya-net.co.jp/products/detail/20279","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/20279"",""priceCurrency"":""JPY"",""price"":5000,""availability"":""OutOfStock""}"
"火の帆 KIBOU","ホノホ キボウ","6490","酒販店","https://unga-plus.com/products/155230818","95","jsonld.price","{""@id"":""/products/155230818?variant=51512199020820#offer"",""@type"":""Offer"",""availability"":""http://schema.org/InStock"",""price"":""6490"",""priceCurrency"":""JPY"",""url"":"
"火の帆 UMI","ホノホ ウミ","8030","酒販店","https://store.musashiya-net.co.jp/products/detail/23115","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/23115"",""priceCurrency"":""JPY"",""price"":8030,""availability"":""InStock""}"
"花物語","キザクラ ハナモノガタリ","3850","酒販店","https://store.musashiya-net.co.jp/products/detail/18858","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/18858"",""priceCurrency"":""JPY"",""price"":3850,""availability"":""InStock""}"
"香立","コウリツ","2500","酒販店","https://store.musashiya-net.co.jp/products/detail/16572","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/16572"",""priceCurrency"":""JPY"",""price"":""2500.00"",""itemCondition"":""http://schema.org/NewC"
